access-list 24 deny ip host 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.1 
access-list 24 deny ip 192.168.1.0 0.0.0.255 any ! ACL de acceso denegado para origen 192.168.1.0 
access-list 24 deny ip 192.168.1.1 0.0.0
